date;stationID;typeflag
01/16/2024 21:39:14;1Live;end_of_ad
01/16/2024 21:39:24;1Live;start_of_ad
01/16/2024 21:39:31;BremenNext;end_of_ad
01/16/2024 21:39:35;BremenNext;start_of_ad
01/16/2024 21:39:42;1Live;end_of_ad
01/16/2024 21:39:49;BremenNext;end_of_ad
01/16/2024 21:40:05;1Live;start_of_ad
01/16/2024 21:40:20;BremenNext;start_of_ad
01/16/2024 21:40:33;BremenNext;end_of_ad
01/16/2024 21:40:37;1Live;end_of_ad
01/16/2024 21:40:42;1Live;start_of_ad
01/16/2024 21:40:42;BremenNext;start_of_ad
01/16/2024 21:41:00;1Live;end_of_ad
01/16/2024 21:41:04;100,5;end_of_ad_artificial
01/16/2024 21:41:05;1Live;start_of_ad
01/16/2024 21:41:09;BremenNext;end_of_ad
01/16/2024 21:41:22;BremenNext;start_of_ad
01/16/2024 21:41:23;1Live;end_of_ad
01/16/2024 21:41:35;BremenNext;end_of_ad
01/16/2024 21:42:15;BremenNext;start_of_ad
01/16/2024 21:42:24;1Live;start_of_ad
01/16/2024 21:42:42;BremenNext;end_of_ad
01/16/2024 21:42:46;BremenNext;start_of_ad
01/16/2024 21:42:47;1Live;end_of_ad
01/16/2024 21:42:51;1Live;start_of_ad
01/16/2024 21:43:04;BremenNext;end_of_ad
01/16/2024 21:43:07;WDR 2;start_of_ad
01/16/2024 21:43:09;BremenNext;start_of_ad
01/16/2024 21:43:22;BremenNext;end_of_ad
01/16/2024 21:43:27;BremenNext;start_of_ad
01/16/2024 21:43:27;Radio RST;start_of_ad
01/16/2024 21:43:40;BremenNext;end_of_ad
01/16/2024 21:43:51;BAYERN 1;start_of_ad
01/16/2024 21:43:55;1Live;end_of_ad
01/16/2024 21:43:58;BremenNext;start_of_ad
01/16/2024 21:44:06;Antenne AC;start_of_ad
01/16/2024 21:44:24;BremenNext;end_of_ad
01/16/2024 21:44:29;BremenNext;start_of_ad
01/16/2024 21:44:41;1Live;start_of_ad
01/16/2024 21:44:51;BremenNext;end_of_ad
01/16/2024 21:45:00;1Live;end_of_ad
01/16/2024 21:45:04;BremenNext;start_of_ad
01/16/2024 21:45:09;1Live;start_of_ad
01/16/2024 21:45:23;1Live;end_of_ad
01/16/2024 21:45:27;BremenNext;end_of_ad
01/16/2024 21:45:53;BremenNext;start_of_ad
01/16/2024 21:45:59;1Live;start_of_ad
01/16/2024 21:46:00;Radio RST;end_of_ad_artificial
01/16/2024 21:46:00;BAYERN 1;end_of_ad_artificial
01/16/2024 21:46:02;WDR 2;end_of_ad_artificial
01/16/2024 21:46:13;1Live;end_of_ad
01/16/2024 21:46:17;100,5;start_of_ad
01/16/2024 21:46:24;BremenNext;end_of_ad
01/16/2024 21:46:29;BremenNext;start_of_ad
01/16/2024 21:46:50;1Live;start_of_ad
01/16/2024 21:47:00;BremenNext;end_of_ad
01/16/2024 21:47:01;Antenne AC;end_of_ad_artificial
01/16/2024 21:47:13;1Live;end_of_ad
01/16/2024 21:47:13;BremenNext;start_of_ad
01/16/2024 21:47:27;BremenNext;end_of_ad
01/16/2024 21:47:40;BremenNext;start_of_ad
01/16/2024 21:47:50;1Live;start_of_ad
01/16/2024 21:47:53;BremenNext;end_of_ad
01/16/2024 21:47:58;BremenNext;start_of_ad
01/16/2024 21:48:12;1Live;end_of_ad
01/16/2024 21:48:20;BremenNext;end_of_ad
01/16/2024 21:48:24;BremenNext;start_of_ad
01/16/2024 21:48:31;1Live;start_of_ad
01/16/2024 21:48:38;BremenNext;end_of_ad
01/16/2024 21:48:42;BremenNext;start_of_ad
01/16/2024 21:48:49;1Live;end_of_ad
