date;stationName;typeflag
01/19/2024 08:27:17;WDR 2;start_of_ad
01/19/2024 08:27:30;Antenne AC;end_of_ad_artificial
01/19/2024 08:28:35;BAYERN 1;start_of_ad
01/19/2024 08:28:44;Radio RST;end_of_ad_artificial
01/19/2024 08:30:20;WDR 2;end_of_ad_artificial
01/19/2024 08:31:36;BAYERN 1;end_of_ad_artificial
01/19/2024 08:48:37;100,5;start_of_ad
01/19/2024 08:51:39;100,5;end_of_ad_artificial
01/19/2024 08:51:59;Radio RST;start_of_ad
01/19/2024 08:52:52;Antenne AC;start_of_ad
01/19/2024 08:53:22;1Live;start_of_ad
01/19/2024 08:55:01;Radio RST;end_of_ad_artificial
01/19/2024 08:55:55;Antenne AC;end_of_ad_artificial
01/19/2024 08:56:58;1Live;end_of_ad
01/19/2024 08:57:58;WDR 2;start_of_ad
01/19/2024 08:58:47;BAYERN 1;start_of_ad
01/19/2024 08:58:53;BremenNext;start_of_ad
01/19/2024 09:01:02;WDR 2;end_of_ad_artificial
01/19/2024 09:01:49;BAYERN 1;end_of_ad_artificial
01/19/2024 09:04:57;BremenNext;end_of_ad_artificial
01/19/2024 09:20:48;100,5;start_of_ad
01/19/2024 09:23:51;100,5;end_of_ad_artificial
01/19/2024 09:25:56;Radio RST;start_of_ad
01/19/2024 09:26:09;Antenne AC;start_of_ad
01/19/2024 09:28:27;WDR 2;start_of_ad
01/19/2024 09:28:59;Radio RST;end_of_ad_artificial
01/19/2024 09:29:12;Antenne AC;end_of_ad_artificial
01/19/2024 09:29:53;BremenNext;start_of_ad
01/19/2024 09:29:55;BAYERN 1;start_of_ad
01/19/2024 09:31:28;WDR 2;end_of_ad_artificial
01/19/2024 09:32:56;BAYERN 1;end_of_ad_artificial
01/19/2024 09:35:56;BremenNext;end_of_ad_artificial
01/19/2024 09:54:10;BremenNext;start_of_ad
01/19/2024 09:54:22;Radio RST;start_of_ad
01/19/2024 09:54:56;Antenne AC;start_of_ad
